Roll_No,Name,Branch,Telugu,English,Maths,Science,Social,Total,Percentage,Grades,City,Phone
101,sundeep,CSE,90,85,80,83,75,413,82.6,Distinction,Vijayawada,900000001
102,saradhi,CSE,50,60,75,54,64,303,60.6,First Class,Guntur,900000002
103,ramesh,ECE,95,78,68,58,78,377,75.4,First Class,Hyderabad,900000003
104,suresh,CSE,55,87,68,64,59,333,66.60000000000001,First Class,Chennai,900000004
105,sathwik,ECE,88,84,98,73,81,424,84.8,Distinction,Bangalore,900000005
106,abhiram,CSE,73,84,91,88,84,420,84.0,Distinction,Vijayawada,900000006
107,srinidhi,ECE,90,83,74,86,94,427,85.39999999999999,Distinction,Guntur,900000007
108,lakshmi,CSE,75,78,85,64,53,355,71.0,First Class,Hyderabad,900000008
109,dinesh,ECE,84,85,76,94,54,393,78.60000000000001,First Class,Chennai,900000009
110,harish,CSE,83,98,81,63,79,404,80.80000000000001,Distinction,Bangalore,900000010
111,murali,ECE,85,86,92,75,35,373,74.6,First Class,Vijayawada,900000011
112,vasu,CSE,50,54,64,87,45,300,60.0,Pass,Guntur,900000012
113,kali,ECE,89,97,69,73,82,410,82.0,Distinction,Hyderabad,900000013
114,ramu,CSE,25,45,60,35,48,213,42.6,Pass,Chennai,900000014
115,krishna,EEE,1,25,65,50,55,196,39.2,Fail,Bangalore,900000015
116,hari,ECE,78,89,95,67,58,387,77.4,First Class,Vijayawada,900000016
117,pavan,CSE,59,52,68,68,70,317,63.4,First Class,Guntur,900000017
118,ashok,ECE,85,86,98,78,44,391,78.2,First Class,Hyderabad,900000018
119,govind,CSE,89,89,95,66,95,434,86.8,Distinction,Chennai,900000019
120,bhargav,ECE,72,78,86,64,72,372,74.4,First Class,Bangalore,900000020
